districtid,timeid,neighborhoodzscore,statezscore
288,5,-0.3,0.01
288,6,-0.36,-0.12
288,7,-0.37,-0.15
289,3,0.77,0.88
289,4,0.0,-0.52
289,5,1.73,6.99
289,6,-0.28,0.77
289,7,-0.51,-0.13
290,3,-0.29,-0.17
290,4,-0.81,-0.29
290,5,-0.77,-0.81
290,6,-0.07,-0.62
290,7,-2.04,-0.36
291,3,-0.86,-0.58
291,4,-0.25,0.07
291,5,-0.73,-0.37
291,6,-0.59,-0.55
291,7,-0.53,-0.46
292,2,0.6,0.11
292,3,2.73,7.26
292,4,0.59,4.69
292,5,1.2,0.83
292,6,1.06,0.67
292,7,1.02,0.86
293,3,0.55,-0.22
293,4,0.2,-0.25
293,5,1.93,0.55
293,6,-0.17,0.57
293,7,0.85,-0.14
294,2,-1.37,-0.36
294,3,0.88,3.89
294,4,3.18,11.52
294,5,0.58,0.23
294,6,1.64,0.84
294,7,0.84,0.56
295,3,2.74,1.75
295,4,-1.26,-0.41
295,5,0.43,0.12
295,6,-0.14,-0.27
295,7,-0.29,-0.34
296,3,0.0,-0.28
296,4,-0.34,-0.4
296,5,-0.58,-0.4
296,6,-0.76,-0.5
296,7,-1.06,-0.49
297,3,-0.7,-0.37
297,4,-0.91,-0.52
297,5,2.86,3.97
297,6,0.22,-0.31
297,7,-0.03,-0.13
299,3,-0.62,-0.37
299,4,-0.99,-0.52
299,5,-0.93,-0.38
299,6,-0.49,-0.78
299,7,-0.42,-0.33
301,2,0.0,0.0
301,3,2.66,3.58
301,4,25.61,36.21
301,5,3.03,0.25
301,6,-1.47,-0.66
301,7,-2.32,-0.5
302,2,0.0,-0.36
302,3,-0.86,-0.35
302,4,6.74,-0.08
302,5,-0.4,-0.22
302,6,-0.22,-0.3
302,7,-0.07,-0.15
303,2,0.0,0.9
303,3,-0.57,-0.01
303,4,-1.13,-1.02
303,5,-0.86,-0.27
303,6,0.07,0.77
303,7,-0.89,-0.11
304,2,0.0,-0.36
304,3,-0.56,-0.22
304,4,4.86,0.44
304,5,3.0,1.11
304,6,9.95,3.79
304,7,5.53,0.85
305,3,-0.68,-0.37
305,4,-0.45,-0.29
305,5,0.55,0.02
305,6,0.68,0.77
305,7,-0.39,-0.28
306,3,-0.8,-0.42
306,4,-0.59,-0.42
306,5,-0.61,-0.47
306,6,-0.75,-0.25
306,7,-0.95,-0.44
307,2,-1.0,-0.29
307,3,0.4,0.37
307,4,0.02,0.18
307,5,11.75,0.29
307,6,0.86,-0.89
307,7,-0.39,-0.48
308,2,-0.84,-0.44
308,3,-1.36,-0.9
308,4,-3.59,-0.74
308,5,-0.74,-0.46
308,6,0.71,0.04
308,7,0.9,0.55
309,2,-0.81,-0.29
309,3,8.81,12.34
309,4,0.99,2.47
309,5,0.29,1.24
309,6,2.22,1.22
309,7,1.81,2.23
310,3,-1.34,-0.42
310,4,-0.19,0.84
310,5,16.95,0.66
310,6,8.96,3.55
310,7,5.2,2.81
312,3,0.0,-0.48
312,4,-0.57,-0.27
312,5,-0.55,-0.5
312,6,-0.6,-0.56
312,7,-0.75,-0.64
313,3,-0.08,0.31
313,4,-0.58,0.25
313,5,-1.41,-0.65
313,6,1.7,2.19
313,7,0.35,0.23
314,3,-0.72,-0.65
314,4,-0.94,-0.53
314,5,-0.81,-0.84
314,6,-0.86,-0.53
314,7,-1.55,-0.69
315,2,-0.8,-0.36
315,3,-0.89,-0.35
315,4,-0.73,0.06
315,5,-0.84,-0.3
315,6,-1.38,-0.45
315,7,-1.48,-0.53
